SeqNo,Sent(usec),Received(usec),Latency(ms),Success
1773460866,56512713452,0,0.0,0
1773460867,56513214069,0,0.0,0
1773460868,56513714981,0,0.0,0
1773460869,56514215483,0,0.0,0
1773460870,56514716548,0,0.0,0
1773460871,56515217373,0,0.0,0
1773460872,56515718274,0,0.0,0
1773460873,56516218561,0,0.0,0
1773460874,56516719139,0,0.0,0
1773460875,56517219481,0,0.0,0
1773460876,56517720216,0,0.0,0
1773460877,56518220821,0,0.0,0
1773460878,56518721646,0,0.0,0
1773460879,56519222203,0,0.0,0
1773460880,56520066038,0,0.0,0
