SeqNo,Sent(usec),Received(usec),Latency(ms),Success
1773460860,56447940344,0,0.0,0
1773460861,56448441416,0,0.0,0
1773460862,56448942020,0,0.0,0
1773460863,56449442077,0,0.0,0
1773460864,56449943167,0,0.0,0
1773460865,56450443809,0,0.0,0
1773460866,56450944238,0,0.0,0
1773460867,56451444576,0,0.0,0
1773460868,56451944861,0,0.0,0
1773460869,56452445338,0,0.0,0
1773460870,56452945371,0,0.0,0
1773460871,56453445579,0,0.0,0
1773460872,56453946141,0,0.0,0
1773460873,56454446184,0,0.0,0
1773460874,56454947111,0,0.0,0
1773460875,56455447757,0,0.0,0
1773460876,56455948450,0,0.0,0
1773460877,56456449057,0,0.0,0
1773460878,56456949838,0,0.0,0
1773460879,56457450698,0,0.0,0
1773460880,56458006957,0,0.0,0
1773460881,56458507512,0,0.0,0
1773460882,56459008080,0,0.0,0
1773460883,56459536218,0,0.0,0
1773460884,56460037154,0,0.0,0
1773460885,56460537318,0,0.0,0
1773460886,56461038145,0,0.0,0
1773460887,56461625717,0,0.0,0
1773460888,56462126278,0,0.0,0
1773460889,56462710415,0,0.0,0
1773460890,56463210527,0,0.0,0
1773460891,56463711120,0,0.0,0
1773460892,56464211424,0,0.0,0
1773460893,56464719123,0,0.0,0
1773460894,56465220203,0,0.0,0
1773460895,56465769587,0,0.0,0
1773460896,56466269611,0,0.0,0
1773460897,56466769742,0,0.0,0
1773460898,56467269925,0,0.0,0
1773460899,56467860135,0,0.0,0
1773460900,56468360144,0,0.0,0
1773460901,56468861197,0,0.0,0
1773460902,56469362064,0,0.0,0
1773460903,56469862391,0,0.0,0
1773460904,56470363335,0,0.0,0
1773460905,56470863473,0,0.0,0
1773460906,56471418809,0,0.0,0
1773460907,56471919480,0,0.0,0
1773460908,56472419492,0,0.0,0
1773460909,56472919670,0,0.0,0
1773460910,56473420390,0,0.0,0
1773460911,56473921301,0,0.0,0
1773460912,56474421329,0,0.0,0
1773460913,56474922039,0,0.0,0
1773460914,56475422829,0,0.0,0
1773460915,56475923677,0,0.0,0
1773460916,56476424698,0,0.0,0
1773460917,56476924886,0,0.0,0
1773460918,56477425094,0,0.0,0
